rank,node,role,degree,betweenness,closeness,clustering,circle,n_circles,importance_score
1,698,ego,61,0.70887,1.0,0.1475,ego,0,1.0
2,856,alter,30,0.06322,0.66304,0.3287,circle0,5,0.2905
3,747,alter,22,0.01203,0.61,0.5887,circle0,2,0.1888
4,828,alter,20,0.00463,0.59804,0.6895,circle0,2,0.1672
5,823,alter,19,0.00372,0.59223,0.7193,circle0,2,0.1584
6,708,alter,18,0.00533,0.58654,0.6732,circle0,2,0.1513
7,697,alter,18,0.00489,0.58654,0.6863,circle0,3,0.151
8,774,alter,18,0.00482,0.58654,0.6993,circle0,3,0.1509
9,800,alter,17,0.00312,0.58095,0.7353,circle2,1,0.1415
10,805,alter,17,0.0028,0.58095,0.7353,circle2,1,0.1413
11,719,alter,17,0.00208,0.58095,0.7721,circle0,1,0.1408
12,819,alter,16,0.0022,0.57547,0.7667,unassigned,0,0.1327
13,713,alter,16,0.0013,0.57547,0.825,circle0,1,0.1321
14,830,alter,15,0.00052,0.57009,0.8952,circle0,1,0.1233
15,840,alter,14,0.00203,0.56481,0.8242,circle0,2,0.1162
16,769,alter,13,0.00472,0.55963,0.6282,unassigned,0,0.1099
17,889,alter,13,0.00321,0.55963,0.7051,circle1,3,0.1088
18,753,alter,12,0.00455,0.55455,0.5909,circle1,1,0.1016
19,804,alter,12,0.00204,0.55455,0.7727,circle1,2,0.0998
20,729,alter,12,0.0013,0.55455,0.803,circle1,2,0.0993
21,745,alter,12,0.00014,0.55455,0.9545,circle0,2,0.0985
22,876,alter,11,0.00045,0.54955,0.8909,circle1,3,0.0905
23,863,alter,11,0.00045,0.54955,0.8909,circle1,2,0.0905
24,810,alter,11,0.00018,0.54955,0.9273,circle2,2,0.0903
25,861,alter,10,0.00053,0.54464,0.8889,unassigned,0,0.0823
26,878,alter,10,0.00022,0.54464,0.9333,circle1,2,0.0821
27,885,alter,9,0.00255,0.53982,0.6667,circle8,1,0.0756
28,703,alter,9,0.00025,0.53982,0.8889,unassigned,0,0.0739
29,888,alter,9,0.0,0.53982,1.0,circle1,2,0.0738
30,880,alter,8,0.00073,0.53509,0.8214,circle2,1,0.0661
31,867,alter,8,0.00064,0.53509,0.8214,circle8,1,0.066
32,776,alter,8,0.00064,0.53509,0.8214,circle6,2,0.066
33,811,alter,8,0.00039,0.53509,0.8571,unassigned,0,0.0658
34,772,alter,8,0.00012,0.53509,0.8929,circle2,1,0.0657
35,882,alter,8,7e-05,0.53509,0.9643,circle1,2,0.0656
36,886,alter,8,7e-05,0.53509,0.9643,circle1,2,0.0656
37,871,alter,7,0.00161,0.53043,0.6667,circle5,2,0.0585
38,870,alter,7,0.00102,0.53043,0.7143,circle5,1,0.0581
39,881,alter,7,0.00067,0.53043,0.7619,circle5,1,0.0579
40,890,alter,7,0.00042,0.53043,0.8095,unassigned,0,0.0577
41,869,alter,7,0.00019,0.53043,0.9048,unassigned,0,0.0575
42,872,alter,7,9e-05,0.53043,0.9524,circle8,1,0.0574
43,874,alter,7,9e-05,0.53043,0.9524,circle8,1,0.0574
44,879,alter,6,0.00056,0.52586,0.7333,circle5,1,0.0496
45,895,alter,6,0.00043,0.52586,0.8,circle5,1,0.0495
46,873,alter,6,0.0,0.52586,1.0,circle8,1,0.0492
47,887,alter,6,0.0,0.52586,1.0,circle8,1,0.0492
48,857,alter,5,0.00082,0.52137,0.7,circle6,1,0.0416
49,825,alter,5,0.00059,0.52137,0.7,circle1,1,0.0414
50,866,alter,5,0.00043,0.52137,0.7,circle5,1,0.0413
51,864,alter,5,0.00027,0.52137,0.8,circle1,1,0.0412
52,858,alter,5,0.0,0.52137,1.0,circle5,1,0.041
53,884,alter,4,0.00014,0.51695,0.8333,circle1,1,0.0329
54,893,alter,4,0.00014,0.51695,0.8333,circle1,1,0.0329
55,894,alter,4,0.00011,0.51695,0.8333,unassigned,0,0.0329
56,865,alter,4,0.0,0.51695,1.0,circle10,1,0.0328
57,803,alter,4,8e-05,0.51695,0.8333,circle0,1,0.0328
58,877,alter,4,0.0,0.51695,1.0,circle8,1,0.0328
59,862,alter,4,0.0,0.51695,1.0,circle6,2,0.0328
60,868,alter,4,0.0,0.51695,1.0,circle10,1,0.0328
61,859,alter,2,0.0,0.50833,1.0,unassigned,0,0.0164
62,798,alter,2,0.0,0.50833,1.0,unassigned,0,0.0164
