node,node_type,label,degree,pagerank,genres
user_1,user,user_1,232,0.000866647115717991,
user_2,user,user_2,29,0.00013435493759834038,
user_3,user,user_3,39,0.000253542515231427,
user_4,user,user_4,216,0.0009291803627870942,
user_5,user,user_5,44,0.00015107307195650032,
user_6,user,user_6,314,0.0014127567302103141,
user_7,user,user_7,152,0.0005625957365950249,
user_8,user,user_8,47,0.00015317185620685258,
user_9,user,user_9,46,0.0002705374464334554,
user_10,user,user_10,140,0.000695019679473907,
user_11,user,user_11,64,0.00023314050805546104,
user_12,user,user_12,32,0.00012746425553297804,
user_13,user,user_13,31,0.00012548588319708103,
user_14,user,user_14,48,0.0001652522015154277,
user_15,user,user_15,135,0.0004819714403684878,
user_16,user,user_16,98,0.00035148569745381975,
user_17,user,user_17,105,0.00036404823678667334,
user_18,user,user_18,502,0.002227905188355177,
user_19,user,user_19,703,0.0031200437320771618,
user_20,user,user_20,242,0.0010056491510264378,
user_21,user,user_21,443,0.0021459882711522636,
user_22,user,user_22,119,0.000446010325126914,
user_23,user,user_23,121,0.0005381686955849773,
user_24,user,user_24,110,0.0004004590080373194,
user_25,user,user_25,26,0.0001113233318967093,
user_26,user,user_26,21,7.512224317762703e-05,
user_27,user,user_27,135,0.0005440058707641952,
user_28,user,user_28,570,0.0027966358823292544,
user_29,user,user_29,81,0.000312371990869854,
user_30,user,user_30,34,0.0001275605817224337,
user_31,user,user_31,50,0.00018910047933639668,
user_32,user,user_32,102,0.00037516431377923647,
user_33,user,user_33,156,0.0006604883138618168,
user_34,user,user_34,86,0.00033635850485325765,
user_35,user,user_35,23,8.485870252417327e-05,
user_36,user,user_36,60,0.000241429993934827,
user_37,user,user_37,21,7.652068344142196e-05,
user_38,user,user_38,78,0.000252372606221964,
user_39,user,user_39,100,0.0003573657518595186,
user_40,user,user_40,103,0.0003794939273821406,
user_41,user,user_41,217,0.0008122811136514372,
user_42,user,user_42,440,0.0017698715604136791,
user_43,user,user_43,114,0.0004113891226005198,
user_44,user,user_44,48,0.00019798296101450593,
user_45,user,user_45,399,0.001460572051939545,
user_46,user,user_46,42,0.00013727801863580862,
user_47,user,user_47,140,0.0006432184965054752,
user_48,user,user_48,33,0.000122203430434692,
user_49,user,user_49,21,8.451330434968252e-05,
user_50,user,user_50,310,0.0021406453540350383,
user_51,user,user_51,359,0.0015268319823378495,
user_52,user,user_52,130,0.0004967138432177685,
user_53,user,user_53,20,9.08656598975878e-05,
user_54,user,user_54,33,0.00012013935066489198,
user_55,user,user_55,25,0.00010066844808379378,
user_56,user,user_56,46,0.00015097081719733294,
user_57,user,user_57,476,0.0018284229266351275,
user_58,user,user_58,112,0.00036273623364545347,
user_59,user,user_59,107,0.00044961387717858147,
user_60,user,user_60,22,8.9142712694609e-05,
user_61,user,user_61,39,0.00013979284481991394,
user_62,user,user_62,366,0.001551383566980219,
user_63,user,user_63,271,0.0009917243807302076,
user_64,user,user_64,517,0.0019366056459601461,
user_65,user,user_65,34,0.00013057728759103347,
user_66,user,user_66,345,0.0014478181580735055,
user_67,user,user_67,36,0.00014375650001421407,
user_68,user,user_68,1260,0.0053382861100007084,
user_69,user,user_69,46,0.00016978701563447304,
user_70,user,user_70,62,0.00023578410715090228,
user_71,user,user_71,35,0.00012844662934869384,
user_72,user,user_72,45,0.00016571085473421237,
user_73,user,user_73,210,0.0009211248248585919,
user_74,user,user_74,177,0.0009441336682363967,
user_75,user,user_75,69,0.00025117520959170176,
user_76,user,user_76,119,0.000438494203521358,
user_77,user,user_77,29,0.00010625492403848584,
user_78,user,user_78,61,0.00021944843214547036,
user_79,user,user_79,64,0.0002666261215172967,
user_80,user,user_80,167,0.0007368165391659237,
user_81,user,user_81,26,8.971285325583869e-05,
user_82,user,user_82,227,0.0008952664305817178,
user_83,user,user_83,118,0.0004421482086576075,
user_84,user,user_84,293,0.0012314435653785012,
user_85,user,user_85,34,0.00020840621022989953,
user_86,user,user_86,70,0.0002543942247284884,
user_87,user,user_87,21,9.051924497785132e-05,
user_88,user,user_88,56,0.00023410105841940596,
user_89,user,user_89,518,0.006083270983472779,
user_90,user,user_90,54,0.0003258239028427857,
user_91,user,user_91,575,0.0025121437782953315,
user_92,user,user_92,24,0.00010656798588881638,
user_93,user,user_93,97,0.0003441332985286126,
user_94,user,user_94,56,0.00017923030262485847,
user_95,user,user_95,168,0.0006709156609398517,
user_96,user,user_96,78,0.0002807002829683402,
user_97,user,user_97,36,0.00015027060564656123,
user_98,user,user_98,92,0.0003620361790612634,
user_99,user,user_99,53,0.00019029868500976033,
user_100,user,user_100,148,0.0005460268185745461,
user_101,user,user_101,61,0.0002444859419973241,
user_102,user,user_102,56,0.00018237707932652054,
user_103,user,user_103,377,0.001589448437771389,
user_104,user,user_104,273,0.0012152764073908764,
user_105,user,user_105,722,0.004963912024440061,
user_106,user,user_106,33,0.000140479643883022,
user_107,user,user_107,34,0.0001157589407174006,
user_108,user,user_108,76,0.00038428338056187934,
user_109,user,user_109,127,0.0004477469573724007,
user_110,user,user_110,51,0.00022120201479185984,
user_111,user,user_111,646,0.0038347270410405746,
user_112,user,user_112,65,0.00021363266971168504,
user_113,user,user_113,150,0.0007317267304977023,
user_114,user,user_114,31,0.00014583279139642496,
user_115,user,user_115,112,0.00039725109794017306,
user_116,user,user_116,87,0.00030393886340683503,
user_117,user,user_117,165,0.0005530400312550163,
user_118,user,user_118,22,8.772067382116634e-05,
user_119,user,user_119,215,0.0009905116795497913,
user_120,user,user_120,22,8.634248933663368e-05,
user_121,user,user_121,58,0.00018865106968292704,
user_122,user,user_122,292,0.0011105469841569838,
user_123,user,user_123,56,0.00022780656598611382,
user_124,user,user_124,50,0.0001824854545678056,
user_125,user,user_125,360,0.0021967883952874515,
user_126,user,user_126,38,0.00012423460675717665,
user_127,user,user_127,22,9.24991312482927e-05,
user_128,user,user_128,33,0.00014498776906000078,
user_129,user,user_129,140,0.0004886152747419889,
