node,node_type,label,degree,pagerank,genres
movie_356,movie,Forrest Gump (1994),329,0.0011545323047463612,Comedy|Drama|Romance|War
movie_318,movie,"Shawshank Redemption, The (1994)",317,0.0010987713680091786,Crime|Drama
movie_296,movie,Pulp Fiction (1994),307,0.00107523730192375,Comedy|Crime|Drama|Thriller
movie_593,movie,"Silence of the Lambs, The (1991)",279,0.0009872485539382107,Crime|Horror|Thriller
movie_2571,movie,"Matrix, The (1999)",278,0.0010061081667575747,Action|Sci-Fi|Thriller
movie_260,movie,Star Wars: Episode IV - A New Hope (1977),251,0.000903179482065212,Action|Adventure|Sci-Fi
movie_480,movie,Jurassic Park (1993),238,0.0008248787328896036,Action|Adventure|Sci-Fi|Thriller
movie_110,movie,Braveheart (1995),237,0.0008100658546328969,Action|Drama|War
movie_589,movie,Terminator 2: Judgment Day (1991),224,0.0007743378558754165,Action|Sci-Fi
movie_527,movie,Schindler's List (1993),220,0.0007781856282699511,Drama|War
movie_2959,movie,Fight Club (1999),218,0.0007970642880066208,Action|Crime|Drama|Thriller
movie_1,movie,Toy Story (1995),215,0.0007757036216857121,Adventure|Animation|Children|Comedy|Fantasy
movie_1196,movie,Star Wars: Episode V - The Empire Strikes Back (1980),211,0.000762156712480937,Action|Adventure|Sci-Fi
movie_2858,movie,American Beauty (1999),204,0.0007515989620114655,Drama|Romance
movie_50,movie,"Usual Suspects, The (1995)",204,0.0007244778365337128,Crime|Mystery|Thriller
movie_47,movie,Seven (a.k.a. Se7en) (1995),203,0.0007069932091989056,Mystery|Thriller
movie_780,movie,Independence Day (a.k.a. ID4) (1996),202,0.0007112114380364695,Action|Adventure|Sci-Fi|Thriller
movie_150,movie,Apollo 13 (1995),201,0.0006763652658313703,Adventure|Drama|IMAX
movie_1198,movie,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200,0.000733223204938585,Action|Adventure
movie_4993,movie,"Lord of the Rings: The Fellowship of the Ring, The (2001)",198,0.0007270458705410696,Adventure|Fantasy
