node,node_type,label,degree,pagerank,genres
user_414,user,user_414,2698,0.014711115727088515,
user_599,user,user_599,2478,0.016400692690923188,
user_474,user,user_474,2108,0.014380025491652324,
user_448,user,user_448,1864,0.012941951028196383,
user_274,user,user_274,1346,0.006253329080912365,
user_610,user,user_610,1302,0.00849213112981533,
user_68,user,user_68,1260,0.0053382861100007084,
user_380,user,user_380,1218,0.005997483430584696,
user_606,user,user_606,1115,0.007245081997378365,
user_288,user,user_288,1055,0.00474448809828485,
user_249,user,user_249,1046,0.004894556556134477,
user_387,user,user_387,1027,0.00559816041705066,
user_182,user,user_182,977,0.004649743005205878,
user_307,user,user_307,975,0.004866297554733884,
user_603,user,user_603,943,0.005294638809053523,
user_298,user,user_298,939,0.004340885835318966,
user_177,user,user_177,904,0.003941135690447615,
user_318,user,user_318,879,0.005919808556361484,
user_232,user,user_232,862,0.004260934256701792,
user_480,user,user_480,836,0.00337102588157376,
