source,target,product_category,value_usd_annual,volume_share_pct,year_established,source_url,source_date
ASML,Analog Devices,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,GlobalFoundries,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Hua Hong Semiconductor,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Infineon,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Intel,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Kioxia,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Microchip,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Micron,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,NXP,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Nanya Technology,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Nexchip,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Powerchip (PSMC),equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Renesas,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Rohm,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,SK Hynix,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,SMIC,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,STMicroelectronics,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Samsung Foundry,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Samsung Memory,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,TSMC,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Texas Instruments,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Tower Semiconductor,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,UMC,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Vanguard (VIS),equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Western Digital,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,Wolfspeed,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
ASML,onsemi,equipment,,,,https://www.asml.com/en/investors/annual-report/2024,2026-06-06
Nikon,TSMC,equipment,,,,https://www.semi.org/en/products-services/market-data/equipment,2026-06-06
Nikon,Samsung Foundry,equipment,,,,https://www.semi.org/en/products-services/market-data/equipment,2026-06-06
Nikon,GlobalFoundries,equipment,,,,https://www.semi.org/en/products-services/market-data/equipment,2026-06-06
