Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
3273,Jurassic World,455,26,46422401.11440775
46687,15 Minutes,410,46,41387707.90094618
19759,The Wolf of Wall Street,373,15,36919059.48747674
524,The Dark Knight Rises,366,7,45488042.073576
15468,Jason Bourne,320,40,30942068.875118364
16236,"Monsters, Inc.",278,14,18913795.375256553
24893,The Core,273,17,26466875.10281297
23087,Contact,268,1,25991070.303486153
1508,Batman v Superman: Dawn of Justice,261,4,27710093.235428054
42008,V for Vendetta,258,2,24361220.532410014
2044,The Avengers,256,25,26456509.643673193
33229,Les Misérables,253,2,22517368.1326128
34485,Austin Powers in Goldmember,251,1,26080171.66560048
15084,The Day After Tomorrow,250,22,20826845.39546421
9976,Batman Begins,248,2,27974475.805728257
21013,The Fifth Element,243,2,28165692.998604167
100626,Mr. Smith Goes to Washington,242,28,26118892.149599437
31496,Rock of Ages,238,42,22894040.228755627
53201,The X Files: I Want to Believe,236,17,21306834.89475258
292,Spectre,232,2,25473706.188113537
6568,Suicide Squad,230,3,21422866.658288326
23349,Now You See Me 2,229,40,23386842.93804134
0,Avatar,226,0,19736748.320054207
40869,Catch Me If You Can,221,1,21610078.868996643
13351,Ant-Man,221,25,21150192.94127047
20175,Catwoman,218,17,21705640.513054855
2958,Captain America: Civil War,215,25,23338698.609806247
69012,Everyone Says I Love You,215,15,21835237.996042307
9541,Alexander,215,2,23575864.453996923
17547,Real Steel,214,4,21273652.69706467
22751,You Don't Mess with the Zohan,214,5,17952060.288760636
9381,Pearl Harbor,211,9,28006769.21794227
6124,The Dark Knight,210,2,22910728.49174812
17183,The Aviator,208,22,22462147.517399725
40306,Blade II,207,18,21971665.811427742
22444,The Girl with the Dragon Tattoo,207,12,20104415.68146117
83420,Movie 43,207,5,25963493.69948305
23916,The Bourne Supremacy,204,31,21255196.57409469
15891,The Chronicles of Riddick,204,17,19458463.3639571
47662,The Social Network,203,12,17810675.367794145
18665,Harry Potter and the Chamber of Secrets,201,2,14551561.264681015
18717,Casino Royale,201,2,19332989.59997234
5048,Star Trek Into Darkness,200,7,16020676.374805696
62232,GoodFellas,200,15,18860076.09572004
3712,Spider-Man 2,199,4,18452360.543458916
32856,What Women Want,198,6,18754657.580315623
